Date,Open,High,Low,Close
2004-09-14,44373,44567,44170,44419
2004-09-15,44413,44653,44117,44472
2004-09-16,44463,44571,44137,44306
2004-09-17,44298,44791,44168,44435
2004-09-20,44571,44638,44260,44497
2004-09-21,44434,45000,44409,44840
2004-09-22,44860,45046,44639,44994
2004-09-23,45026,45481,44746,45404
2004-09-24,45404,45495,44985,45152
2004-09-27,45199,45600,44965,45414
2004-09-28,45422,45991,45385,45889
2004-09-29,45876,45971,45476,45746
2004-09-30,45763,46057,45544,45993
2004-10-01,45993,46308,45862,46287
2004-10-04,46362,46416,45694,45867
2004-10-05,45846,46607,45627,46469
2004-10-06,46477,46708,46245,46451
2004-10-07,46455,46683,46301,46455
2004-10-08,46464,46628,45927,46258
2004-10-11,45817,46268,45805,46048
2004-10-12,46237,46329,45281,46237
2004-10-13,46208,46229,44980,45656
2004-10-14,45664,45839,45262,45814
2004-10-15,45806,45969,45561,45749
2004-10-18,45611,45893,45450,45479
2004-10-19,45381,45597,45148,45428
2004-10-20,45449,46055,45432,45871
2004-10-21,45879,45958,45308,45508
2004-10-22,45529,45663,45308,45430
2004-10-25,45365,45830,45285,45651
2004-10-26,45690,45799,45232,45603
2004-10-27,45607,45658,45053,45070
2004-10-28,45138,45295,44791,45035
2004-10-29,45044,45380,44941,45273
2004-11-01,45325,45738,45248,45415
2004-11-02,45410,45549,44305,44730
2004-11-03,44678,45398,44492,45398
2004-11-04,45368,45862,45184,45505
2004-11-05,45513,45824,45149,45738
2004-11-08,44835,45875,44822,45502
2004-11-09,45536,46092,45480,45983
2004-11-10,45957,46571,45737,46441
2004-11-11,46445,46450,46136,46313
2004-11-12,46309,46375,45966,46199
2004-11-15,46204,46407,45884,45932
2004-11-16,45954,46416,45902,46271
2004-11-17,46262,46536,46007,46198
2004-11-18,46229,46329,45873,46148
2004-11-19,46087,46151,45707,46036
2004-11-22,45912,46313,45761,46259
2004-11-23,46240,46428,46091,46149
2004-11-24,46146,46384,45969,46127
2004-11-25,46136,46411,46021,46301
2004-11-26,46297,46622,46155,46374
2004-11-29,46574,46663,46146,46617
2004-11-30,46608,46659,46022,46352
2004-12-01,46356,46790,46256,46513
2004-12-02,46504,46715,46069,46319
2004-12-03,46332,46636,45951,46483
2004-12-06,46483,46883,46199,46667
2004-12-07,46644,46735,46254,46334
2004-12-08,46391,46409,45253,45761
2004-12-09,45753,45857,45236,45735
2004-12-10,45701,46179,45553,45646
2004-12-13,45705,46038,45540,45989
2004-12-14,45914,46162,45774,45917
2004-12-15,45958,46050,45640,45870
2004-12-16,45813,46179,45582,45750
2004-12-17,45750,46040,45591,45923
2004-12-20,45608,46214,45586,46058
2004-12-21,46071,46158,45855,46053
2004-12-22,46075,46137,45624,45771
2004-12-23,45775,46024,45571,45731
2004-12-24,45726,45883,45695,45849
2004-12-27,45868,46069,45666,45755
2004-12-28,45790,45960,45629,45677
2004-12-29,45668,45897,45140,45239
2004-12-30,45266,45440,44883,45084
2004-12-31,45053,45120,44762,44888
2005-01-03,44876,44905,43838,44022
2005-01-04,44088,44739,43827,44675
2005-01-05,44658,44740,44201,44350
2005-01-06,44376,44748,44087,44225
2005-01-07,44187,44294,43517,43876
2005-01-10,43855,44053,43581,43617
2005-01-11,43732,43982,43457,43618
2005-01-12,43593,43761,43231,43593
2005-01-13,43593,43725,43295,43494
2005-01-14,43499,43621,43014,43140
2005-01-17,43031,43139,42927,43065
2005-01-18,43052,43519,43005,43248
2005-01-19,43225,43623,43173,43458
2005-01-20,43434,43756,43178,43649
2005-01-21,43634,43973,43515,43797
2005-01-24,43853,44033,43727,43804
2005-01-25,43830,44175,43759,43914
2005-01-26,43902,44030,43530,43895
2005-01-27,43891,44223,43760,43934
2005-01-28,43872,44276,43611,44056
2005-01-31,44137,44182,43423,43770
2005-02-01,43775,43860,43532,43627
2005-02-02,43629,43786,43532,43699
2005-02-03,43674,43903,43293,43520
2005-02-04,43543,43664,42899,43110
2005-02-07,43292,43437,43025,43362
2005-02-08,43358,43731,43228,43603
2005-02-09,43605,43698,43405,43591
2005-02-10,43582,44178,43553,44158
2005-02-11,44166,44520,43980,44443
2005-02-14,44324,44750,44186,44737
2005-02-15,44716,44733,44289,44383
2005-02-16,44396,44847,44362,44791
2005-02-17,44799,45145,44609,45059
2005-02-18,45072,45217,44828,45096
2005-02-21,45073,45307,44976,45083
2005-02-22,45061,45275,44668,45174
2005-02-23,45174,45707,44232,45518
2005-02-24,45518,45804,45383,45674
2005-02-25,45704,45913,45389,45719
2005-02-28,45538,45763,45351,45501
2005-03-01,45532,45558,44906,45160
2005-03-02,45147,45384,44918,45262
2005-03-03,45257,45506,45021,45238
